Code,Name,Agreement,Auditor,Change,Debt,Delist,GEM,Halt,Insurance,Litigation,Loan,Potential Issue,Report,Resignation,Restriction,Restructure,Resumption,RTO,Share,Transaction,Long-stop,Offshore,Special Dividend,Specific Mandate,Fluctuation,Voting,IPO
00001,CK Hutchison Holdings Ltd.,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N
00002,CLP Holdings Ltd.,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00003,"Hong Kong and China Gas Co. Ltd., The",N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00004,"Wharf (Holdings) Ltd., The",N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00005,HSBC Holdings plc,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N
00006,Power Assets Holdings Ltd.,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N
00007,Hoifu Energy Group Ltd.,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00008,PCCW Ltd.,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
00009,Nine Express Ltd.,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N
00010,Hang Lung Group Ltd.,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00011,Hang Seng Bank Ltd.,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00012,Henderson Land Development Co. Ltd.,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00014,Hysan Development Co. Ltd.,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00015,Vantage International (Holdings) Ltd.,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N
00016,Sun Hung Kai Properties Ltd.,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
00017,New World Development Co. Ltd.,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N
00018,Oriental Press Group Ltd.,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
00019,Swire Pacific Ltd. 'A',N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00020,Wheelock and Co. Ltd.,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00021,Great China Properties Holdings Ltd.,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N
00022,Mexan Ltd.,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
00023,"Bank of East Asia, Ltd., The",N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00024,Burwill Holdings Ltd.,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N
00025,Chevalier International Holdings Ltd.,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00026,"China Motor Bus Co., Ltd.",N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00027,Galaxy Entertainment Group Ltd.,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
00028,Tian An China Investments Co. Ltd.,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
