Code,Short,Name (Eng),Name (Chi),Principal Office,Place Incorporated,Principal Activities,Industry Classification,Currency,Issued Shares,Authorised Shares,Par Value,Board Lot,Listing Date,Remark
00001,CKH HOLDINGS,CK Hutchison Holdings Ltd.,長江和記實業有限公司,"12/F, Cheung Kong Center2 Queen's Road CentralHong Kong",Cayman Islands,"Property development and investment, hotel and serviced suite operation, property and project management, and investment in infrastructure businesses and securities, ownership and leasing of movable assets.",Conglomerates - Conglomerates - Conglomerates (HSIC*),HKD,"3,859,678,500","8,000,000,000",HKD 1.0000,500,1/11/1972,New
00002,CLP HOLDINGS,CLP Holdings Ltd.,中電控股有限公司,8 Laguna Verde AvenueHung HomKowloonHong Kong,Hong Kong,"Generation and supply of electricity in Hong Kong, India and Australia, and investment holding of power projects in Mainland China, Southeast Asia and Taiwan.",Utilities - Utilities - Electricity (HSIC*),HKD,"2,526,450,570",N/A,N/A,500,N/A,New
00003,HK & CHINA GAS,"Hong Kong and China Gas Co. Ltd., The",香港中華煤氣有限公司,23/F 363 Java RoadNorth PointHong Kong,Hong Kong,"Production, distribution and marketing of gas, water supply and emerging environmentally-friendly energy businesses in Hong Kong and the PRC; property development and investment activities in Hong Kong.",Utilities - Utilities - Gas Distribution (HSIC*),HKD,"12,717,042,258",N/A,N/A,1000,N/A,New
00004,WHARF HOLDINGS,"Wharf (Holdings) Ltd., The",九龍倉集團有限公司,16/F Ocean CentreHarbour CityCanton RoadKowloon Hong Kong,Hong Kong,"Investment property, development property, hotels operations, logistics and communications, media and entertainment.",Properties & Construction - Properties - Property Investment (HSIC*),HKD,"3,031,027,327",N/A,N/A,1000,N/A,New
00005,HSBC HOLDINGS,HSBC Holdings plc,匯豐控股有限公司,1 Queen's RoadCentralHong Kong,England,"Provision of a comprehensive range of banking and related financial services through an int'l network in the Asia-Pacific region, Europe, the Americas, the Middle East and Africa.",Financials - Banks - Banks (HSIC*),HKD,"19,924,301,653",N/A,USD 0.5000,400,N/A,New
00006,POWER ASSETS,Power Assets Holdings Ltd.,電能實業有限公司,"Rooms 1913-1914, 19th FloorHutchison House10 Harcourt RoadHong Kong",Hong Kong,Generation and supply of electricity.,Utilities - Utilities - Electricity (HSIC*),HKD,"2,134,261,654",N/A,N/A,500,N/A,New
00007,HOIFU ENERGY,Hoifu Energy Group Ltd.,凱富能源集團有限公司,"Units 1910-12, 19th FloorChina Merchants TowerShun Tak Centre168-200 Connaught Rd C, HK",Bermuda,"Petrochemical production, oil and gas exploration and production, mineral mining business and provision of financial services.",Financials - Other Financials - Securities & Brokerage (HSIC*),HKD,"1,685,566,601","10,000,000,000",HKD 0.1000,2000,8/9/2000,New
00008,PCCW,PCCW Ltd.,電訊盈科有限公司,"41st Floor, PCCW TowerTaiKoo Place979 King's RoadQuarry Bay, Hong Kong",Hong Kong,"Provision of telecommunication services, Internet and multimedia services, sale and rental of equipment and technical services. Investment in and development of infrastructure, properties and technology-related business.",Telecommunications - Telecommunications - Telecommunication Services (HSIC*),HKD,"7,705,619,457",N/A,N/A,1000,18/10/1994,New
00009,NINE EXPRESS,Nine Express Ltd.,九號運通有限公司,"Room 4101, 41/FLee Garden One33 Hysan AvenueCauseway Bay, Hong Kong",Bermuda,Film distribution and licensing; film processing; rental of property; and property and hotel development.,Properties & Construction - Properties - Property Investment (HSIC*),HKD,"2,471,162,504","100,000,000,000",HKD 0.0100,6000,12/9/2001,New
00010,HANG LUNG GROUP,Hang Lung Group Ltd.,恒隆集團有限公司,28/FStandard Chartered Bank Bldg4 Des Voeux Road CentralHong Kong,Hong Kong,"Property development for sale and leasing, property investment for rental income, operation of car park, property management and dry-cleaning.",Properties & Construction - Properties - Property Investment (HSIC*),HKD,"1,358,668,242",N/A,N/A,1000,12/10/1972,New
